"filename","taint result","taint failure reason","is vulnerability","applicable for utbot","not applicability reason","TESTFILES_DIR","System","`while` cycle","`for` cycle","File","Files","FileInputStream","FileOutputStream","Cookie","Paths","Path","URLDecoder","StringBuilder","Enumeration","ESAPI","SeparateClassRequest","OWASP Utils",Base64
"BenchmarkTest00064","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00065","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00131","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00132","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00133","TRUE","","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00134","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00135","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00136","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00137","FALSE","addition of tainted data to a map does not taint the map","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00215","TRUE","","TRUE","TRUE","","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00216","TRUE","","TRUE","TRUE","","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00217","FALSE","difficult dataflow","FALSE","FALSE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00218","FALSE","URI creation with a tainted parameter does not taint the URI","TRUE","UNSURE","вроде работает с построением аргумента path на разных примерах","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00219","TRUE","","TRUE","TRUE","","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00220","FALSE","difficult dataflow","FALSE","FALSE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00221","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00222","TRUE","","TRUE","TRUE","","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00261","FALSE","difficult dataflow","FALSE","FALSE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00262","TRUE","","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00263","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00264","TRUE","","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00265","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00359","TRUE","","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00360","FALSE","string decoding operations","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00361","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00362","TRUE","","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00363","TRUE","","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00364","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00365","FALSE","addition of tainted data to a map does not taint the map","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00366","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00452","FALSE","data access from a tainted array does not make data tainted","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00453","FALSE","data access from a tainted array does not make data tainted","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00454","FALSE","data access from a tainted array does not make data tainted","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00455","FALSE","data access from a tainted array does not make data tainted","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00456","FALSE","data access from a tainted array does not make data tainted","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00457","FALSE","data access from a tainted array does not make data tainted","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00458","FALSE","data access from a tainted array does not make data tainted","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00459","FALSE","data access from a tainted array does not make data tainted","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00460","FALSE","data access from a tainted array does not make data tainted","FALSE","FALSE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00525","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","might fail because of cycle","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00526","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","might fail because of cycle","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00527","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","might fail because of cycle","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00528","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","might fail because of cycle","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00529","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","might fail because of cycle","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00619","FALSE","addition of tainted data into a list does not taint the list","TRUE","TRUE","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00620","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00621","FALSE","difficult dataflow","FALSE","FALSE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"BenchmarkTest00622","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","TRUE","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00623","FALSE","string decoding operations","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE"
"BenchmarkTest00624","TRUE","","TRUE","FALSE","reflection","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00625","TRUE","does not rely on actual results of int calculations - overapproximation","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00626","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00627","FALSE","string decoding operations","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"BenchmarkTest00628","FALSE","difficult dataflow","FALSE","FALSE","reflection","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE"
"BenchmarkTest00629","TRUE","","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00696","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00697","FALSE","usage of an array as a source return does not make the array tainted","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"BenchmarkTest00698","FALSE","usage of an array as a source return does not make the array tainted","TRUE","FALSE","reflection","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00699","FALSE","usage of an array as a source return does not make the array tainted","FALSE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00700","FALSE","usage of an array as a source return does not make the array tainted","TRUE","UNSURE","org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00783","FALSE","addition of tainted data to a map does not taint the map","TRUE","FALSE","difficult string manipulations","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00784","TRUE","does not rely on the actual value that is picked via charAt(idx) - overapproximation","FALSE","UNSURE","utbot не генерит сюда тест, no executable traces found, кажется из-за indexOf","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00785","FALSE","addition of tainted data to a map does not taint the map","TRUE","UNSURE","utbot не генерит сюда тест, no executable traces found, кажется из-за indexOf","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00786","FALSE","addition of tainted data to a map does not taint the map","FALSE","UNSURE","utbot не генерит сюда тест, no executable traces found, кажется из-за indexOf","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00787","FALSE","string decoding operations","TRUE","UNSURE","utbot не генерит сюда тест, no executable traces found, кажется из-за indexOf","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00788","TRUE","","TRUE","UNSURE","utbot не генерит сюда тест, no executable traces found, кажется из-за indexOf","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00862","TRUE","does not rely on actual results of int calculations - overapproximation","FALSE","TRUE","","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00863","TRUE","?","FALSE","FALSE","reflection","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"BenchmarkTest00864","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"BenchmarkTest00865","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00866","TRUE","?","FALSE","FALSE","reflection","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00867","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"BenchmarkTest00949","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00950","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00951","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00952","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00953","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00954","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00955","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00956","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00957","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00958","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest01025","TRUE","","TRUE","FALSE","reflection","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest01026","TRUE","difficult dataflow?","FALSE","FALSE","difficult string manipulation + org.apache.commons.codec.binary.Base64 no class def + сам utbot падает на этом примере + reflection","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE"
"BenchmarkTest01027","TRUE","does not rely on actual results of int calculations - overapproximation","FALSE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest01028","FALSE","addition of tainted data into a list does not taint the list","FALSE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
